clado1,mu1,K1,gam1,ana1,clado2,mu2,K2,gam2,ana2
0.304653434,0.248185026,Inf,0.000293827,1.433036094,0.304653434,0.438495614,Inf,0.03358256,1.433036094
0.292483431,0.249374308,Inf,0.000330218,1.480361407,0.292483431,0.426900168,Inf,0.033118189,1.480361407
0.301399889,0.251210193,Inf,0.000311909,1.342344881,0.301399889,0.424857017,Inf,0.031885018,1.342344881
0.316797685,0.256664662,Inf,0.000292401,1.642177459,0.316797685,0.451014992,Inf,0.034188512,1.642177459
0.309457961,0.257556287,Inf,0.000312953,1.705392094,0.309457961,0.448671135,Inf,0.034613548,1.705392094
0.306275316,0.260671314,Inf,0.000332861,1.834390722,0.306275316,0.455506963,Inf,0.035996896,1.834390722
0.347314743,0.290110056,Inf,0.000326214,1.848229702,0.347314743,0.490144216,Inf,0.036814976,1.848229702
0.271933348,0.23112344,Inf,0.000319376,1.230400926,0.271933348,0.386354736,Inf,0.029275674,1.230400926
0.32113153,0.273214981,Inf,0.000337321,1.509223162,0.32113153,0.445917139,Inf,0.03293293,1.509223162
0.316077365,0.265436503,Inf,0.000323142,1.499923433,0.316077365,0.443526067,Inf,0.033142921,1.499923433
0.311549458,0.269365501,Inf,0.000351191,1.45203711,0.311549458,0.434592278,Inf,0.032241285,1.45203711
0.296309659,0.248717909,Inf,0.000316741,1.563605349,0.296309659,0.433768972,Inf,0.033708249,1.563605349
0.332552863,0.273388346,Inf,0.000307994,1.833128124,0.332552863,0.481778586,Inf,0.037137062,1.833128124
0.344429444,0.30271347,Inf,0.000383303,1.584782237,0.344429444,0.485141921,Inf,0.036392363,1.584782237
0.29298013,0.245996516,Inf,0.000315793,1.448273444,0.29298013,0.429792499,Inf,0.033496303,1.448273444
0.292518132,0.25765108,Inf,0.000364135,1.182834074,0.292518132,0.430859163,Inf,0.033744516,1.182834074
0.28486014,0.220644389,Inf,0.000256066,1.73935837,0.28486014,0.429330566,Inf,0.034236575,1.73935837
0.29601169,0.23571645,Inf,0.0002754,1.484354217,0.29601169,0.43858469,Inf,0.034522658,1.484354217
0.276184403,0.220142643,Inf,0.000271648,1.533899085,0.276184403,0.406326223,Inf,0.03174786,1.533899085
0.297072726,0.24021565,Inf,0.000286479,1.24640978,0.297072726,0.431533716,Inf,0.033346243,1.24640978
0.315501644,0.262657554,Inf,0.000314818,1.524668636,0.315501644,0.442790926,Inf,0.033167724,1.524668636
0.298309013,0.256264634,Inf,0.000339429,1.245281355,0.298309013,0.421225539,Inf,0.031658797,1.245281355
0.314802903,0.267609648,Inf,0.000334487,2.154995477,0.314802903,0.451245055,Inf,0.034370428,2.154995477
0.332820724,0.284860723,Inf,0.000347447,2.143718253,0.332820724,0.473090249,Inf,0.035748859,2.143718253
0.327012926,0.270348254,Inf,0.000311496,1.397011889,0.327012926,0.462277776,Inf,0.034784109,1.397011889
0.351216585,0.300295534,Inf,0.000352011,2.152415633,0.351216585,0.512084974,Inf,0.039663189,2.152415633
0.321723874,0.275324728,Inf,0.000343855,2.572800149,0.321723874,0.457901403,Inf,0.034620322,2.572800149
0.304218289,0.257450919,Inf,0.000327043,1.499570615,0.304218289,0.44084099,Inf,0.033964547,1.499570615
0.326712309,0.279810586,Inf,0.000345978,1.599439757,0.326712309,0.455929005,Inf,0.033863138,1.599439757
0.31374,0.25933172,Inf,0.000308057,1.481064955,0.31374,0.455241192,Inf,0.035138259,1.481064955
0.336692132,0.27975874,Inf,0.00031818,1.653333301,0.336692132,0.471375326,Inf,0.035129484,1.653333301
0.255719066,0.205375639,Inf,0.000271379,1.208370386,0.255719066,0.369560384,Inf,0.028423842,1.208370386
0.289634858,0.233801703,Inf,0.000283261,1.122926104,0.289634858,0.40202462,Inf,0.029695025,1.122926104
0.292584944,0.245398331,Inf,0.000314865,1.41009794,0.292584944,0.426584112,Inf,0.033081327,1.41009794
0.30374241,0.25018003,Inf,0.000302061,1.687708255,0.30374241,0.436583582,Inf,0.033340937,1.687708255
0.305167005,0.252959742,Inf,0.000308353,1.618560701,0.305167005,0.43057631,Inf,0.032298684,1.618560701
0.322854377,0.278633138,Inf,0.000353351,1.422650418,0.322854377,0.462582519,Inf,0.035279501,1.422650418
0.310140209,0.252073941,Inf,0.000293368,2.050268144,0.310140209,0.452716341,Inf,0.03511114,2.050268144
0.305746555,0.246038688,Inf,0.000285146,1.478392765,0.305746555,0.435280348,Inf,0.033025349,1.478392765
0.28455483,0.227976804,Inf,0.000277135,1.181452256,0.28455483,0.40514589,Inf,0.030709092,1.181452256
0.302888197,0.261104909,Inf,0.000344758,1.363577437,0.302888197,0.436100291,Inf,0.033408141,1.363577437
0.28944131,0.245323481,Inf,0.000323168,1.363868229,0.28944131,0.423776477,Inf,0.033018626,1.363868229
0.338654785,0.286429855,Inf,0.000336425,2.054572748,0.338654785,0.485637889,Inf,0.037054652,2.054572748
0.28772704,0.242954022,Inf,0.000319049,1.440479926,0.28772704,0.429379852,Inf,0.034009416,1.440479926
0.300617706,0.24546521,Inf,0.000294705,1.869124689,0.300617706,0.439036212,Inf,0.034051931,1.869124689
0.354863961,0.312593669,Inf,0.000390374,1.457071889,0.354863961,0.499987183,Inf,0.037539793,1.457071889
0.297459131,0.247389286,Inf,0.00030889,1.856572052,0.297459131,0.429747737,Inf,0.032972035,1.856572052
0.334483186,0.284543976,Inf,0.00034173,1.374375088,0.334483186,0.47825477,Inf,0.036425438,1.374375088
